LOAD DATA
INFILE *
APPEND
INTO TABLE macomb.mt_epicimage
FIELDS TERMINATED BY ',' OPTIONALLY ENCLOSED BY '"'
(IMAGEREF,VOLUMEID,ARCHIVEFLAG,IMAGEFILENAME)
ZMUPDGZHZ1PX7S9R,VOL199901,N,ZMUPDGZHZ1PX7S9R.JPG
J88FJAYTEZ0964QJ,VOL199901,N,J88FJAYTEZ0964QJ.JPG
MIOAO206K2BSYX7Z,VOL199901,N,MIOAO206K2BSYX7Z.JPG
LLMTLIDG9TVU2IZ9,VOL199901,N,LLMTLIDG9TVU2IZ9.JPG
AMNFOKM9FBHM9J57,VOL199901,N,AMNFOKM9FBHM9J57.JPG
I4WW9411BBXE1EOO,VOL199901,N,I4WW9411BBXE1EOO.JPG
GJFY2MJEP86JWNKM,VOL199901,N,GJFY2MJEP86JWNKM.JPG
OAWOVQ0O7E6L5VTV,VOL199901,N,OAWOVQ0O7E6L5VTV.JPG
JVSHDI9P1UP7YRMI,VOL199901,N,JVSHDI9P1UP7YRMI.JPG
GMXGYRH154B7BTBD,VOL199901,N,GMXGYRH154B7BTBD.JPG
VD6KMMI9S34HR10P,VOL199901,N,VD6KMMI9S34HR10P.JPG
VGIIZCFVYGECUXGR,VOL199901,N,VGIIZCFVYGECUXGR.JPG
XL6L1UTGXMA2WDJG,VOL199901,N,XL6L1UTGXMA2WDJG.JPG
U5HSDGW4IBC8REUT,VOL199901,N,U5HSDGW4IBC8REUT.JPG
BGYRP8M8P87YLL1N,VOL199901,N,BGYRP8M8P87YLL1N.JPG
ASPRTJV68Z26H0BB,VOL199901,N,ASPRTJV68Z26H0BB.JPG
DD3LAEGQK3I99R4M,VOL199901,N,DD3LAEGQK3I99R4M.JPG
ULYUAY46D76NQK1P,VOL199901,N,ULYUAY46D76NQK1P.JPG
I8UCT75M9M9Q9VZO,VOL199901,N,I8UCT75M9M9Q9VZO.JPG
JS4Z58NJSBMNIDB6,VOL199901,N,JS4Z58NJSBMNIDB6.JPG
XM98A0WFHA3ZGFTR,VOL199901,N,XM98A0WFHA3ZGFTR.JPG
XMRS190JMO0UYBS7,VOL199901,N,XMRS190JMO0UYBS7.JPG
NYUXCC1N3UDEB9G1,VOL199901,N,NYUXCC1N3UDEB9G1.JPG
RMJNF57K3HAGYAMO,VOL199901,N,RMJNF57K3HAGYAMO.JPG
VWGMOVK4WU5STSV3,VOL199901,N,VWGMOVK4WU5STSV3.JPG
QX0DNXC3YUE0TJO9,VOL199901,N,QX0DNXC3YUE0TJO9.JPG
Z9A515U3F2K1VDMW,VOL199901,N,Z9A515U3F2K1VDMW.JPG
DMV1G8N0WJIR02MA,VOL199901,N,DMV1G8N0WJIR02MA.JPG
RO2GSZDODZACLZXI,VOL199901,N,RO2GSZDODZACLZXI.JPG
PDEQVF070TDHIT42,VOL199901,N,PDEQVF070TDHIT42.JPG
OLZKT0QZ5OOVQUCR,VOL199901,N,OLZKT0QZ5OOVQUCR.JPG
NM2V3G70VSVA8QAQ,VOL199901,N,NM2V3G70VSVA8QAQ.JPG
U9XDBS934D48BI7P,VOL199901,N,U9XDBS934D48BI7P.JPG
AE8M91LI0Q0QQS4B,VOL199901,N,AE8M91LI0Q0QQS4B.JPG
AMG2MCBTUBR0R0IE,VOL199901,N,AMG2MCBTUBR0R0IE.JPG
KGU9OQGQCTGKJZQI,VOL199901,N,KGU9OQGQCTGKJZQI.JPG
XB81B3EHIT23ZZMI,VOL199901,N,XB81B3EHIT23ZZMI.JPG
W4I4D960AGZ2NGD6,VOL199901,N,W4I4D960AGZ2NGD6.JPG
WD9GETGVLVWHIKTF,VOL199901,N,WD9GETGVLVWHIKTF.JPG
MJ6LCSLCF4TQZY7Q,VOL199901,N,MJ6LCSLCF4TQZY7Q.JPG
Q6Z4IJR766G95XWF,VOL199901,N,Q6Z4IJR766G95XWF.JPG
QS0V8F3YVRYHNQ5L,VOL199901,N,QS0V8F3YVRYHNQ5L.JPG
VXY5CWHPETO530SW,VOL199901,N,VXY5CWHPETO530SW.JPG
BVZHDKRT9RMAQU0G,VOL199901,N,BVZHDKRT9RMAQU0G.JPG
EANB8OHK88ZF1XZS,VOL199901,N,EANB8OHK88ZF1XZS.JPG
QGZ445GUUOMJH4ER,VOL199901,N,QGZ445GUUOMJH4ER.JPG
J2KX5WVHPOL03MFG,VOL199901,N,J2KX5WVHPOL03MFG.JPG
W4RKP9CHXKW6WSDM,VOL199901,N,W4RKP9CHXKW6WSDM.JPG
K0YH37IC53X409UJ,VOL199901,N,K0YH37IC53X409UJ.JPG
SFHPJD2UFDU9ACWD,VOL199901,N,SFHPJD2UFDU9ACWD.JPG
YO6HRLCTZOHMLDQV,VOL199901,N,YO6HRLCTZOHMLDQV.JPG
EVWY3KQDR3UEBEY3,VOL199901,N,EVWY3KQDR3UEBEY3.JPG
C76UHU08G4SS9RE2,VOL199901,N,C76UHU08G4SS9RE2.JPG
E68G5YS2QW2D0L1D,VOL199901,N,E68G5YS2QW2D0L1D.JPG
J0KBCB6OV5ZK5APL,VOL199901,N,J0KBCB6OV5ZK5APL.JPG
ARQ4074SGUOKLUG7,VOL199901,N,ARQ4074SGUOKLUG7.JPG
GZAILBQ6DEC7DQLK,VOL199901,N,GZAILBQ6DEC7DQLK.JPG
PIKGC86CS9M514F5,VOL199901,N,PIKGC86CS9M514F5.JPG
BXADN34U5JK5OCPV,VOL199901,N,BXADN34U5JK5OCPV.JPG
P0BKFCMIQFVIX3QN,VOLASD1AS,N,P0BKFCMIQFVIX3QN.JPG
QTRY7Y148XZTIR5D,VOL199901,N,QTRY7Y148XZTIR5D.JPG
OSNII85AW2JHC35G,VOL199901,N,OSNII85AW2JHC35G.JPG
M7DFL8VKQRU54RLW,VOL199901,N,M7DFL8VKQRU54RLW.JPG
MNPSRZXN3LD3BX8H,VOL199901,N,MNPSRZXN3LD3BX8H.JPG
XGW0KLVTIEVFUS9Y,VOL199901,N,XGW0KLVTIEVFUS9Y.JPG
YFVOMXFB2H37U8JF,VOL199901,N,YFVOMXFB2H37U8JF.JPG
CZOVCYI5KW3W7B9W,VOL199901,N,CZOVCYI5KW3W7B9W.JPG
KUI43IWOBPO305UN,VOL199901,N,KUI43IWOBPO305UN.JPG
MWT7626EPRN08JUY,VOL199901,N,MWT7626EPRN08JUY.JPG
ZKNT13YFELK1X3HS,VOL199901,N,ZKNT13YFELK1X3HS.JPG
SFFBM5X1LNYNWGEB,VOL199901,N,SFFBM5X1LNYNWGEB.JPG
PBLYKF7G0HK6YITP,VOL199901,N,PBLYKF7G0HK6YITP.JPG
Z5UCRS5D3IVKC7M9,VOL199901,N,Z5UCRS5D3IVKC7M9.JPG
H5BPPQ92DIAUBQCP,VOL199901,N,H5BPPQ92DIAUBQCP.JPG
B1QUEAOKSEOTOJJ6,VOL199901,N,B1QUEAOKSEOTOJJ6.JPG
WDZWG4Y7SBVD7SFL,VOL199901,N,WDZWG4Y7SBVD7SFL.JPG
X7NW7BPW0U0SVPJR,VOL199901,N,X7NW7BPW0U0SVPJR.JPG
DKCO8UHTTD7QZR75,VOL199901,N,DKCO8UHTTD7QZR75.JPG
