LOAD DATA
INFILE *
APPEND
INTO TABLE macomb.mt_eh_nist_mugshot
FIELDS TERMINATED BY ',' OPTIONALLY ENCLOSED BY '"'
(PHOTO_ID,IMAGE_POSE,POSE_OFFSET_ANGLE,GLASSES_FLAG,HAT_FLAG,SCARF_FLAG,PHYSICAL_FLAG,OTHER_FLAG,DESCRIPTION,ACTION_TYPE,ACTION_TIME,ACTION_BY)
DD3LAEGQK3I99R4M,FRONT,F0,N,N,N,N,N,,I,1999010506:12:00-480,-900
ULYUAY46D76NQK1P,SIDE,L90,N,N,N,N,N,,I,1999010506:12:18-480,-900
I8UCT75M9M9Q9VZO,FRONT,F0,N,N,N,N,N,,I,1999010506:12:50-480,-900
JS4Z58NJSBMNIDB6,SIDE,L90,N,N,N,N,N,,I,1999010506:13:00-480,-900
XM98A0WFHA3ZGFTR,FRONT,F0,N,N,N,N,N,,I,1999010506:19:32-480,-900
XMRS190JMO0UYBS7,SIDE,L90,N,N,N,N,N,,I,1999010506:19:40-480,-900
NYUXCC1N3UDEB9G1,FRONT,F0,N,N,N,N,N,,I,1999010506:38:36-480,-900
RMJNF57K3HAGYAMO,SIDE,L90,N,N,N,N,N,,I,1999010506:38:42-480,-900
VWGMOVK4WU5STSV3,FRONT,F0,N,N,N,N,N,,I,1999010506:41:30-480,-900
QX0DNXC3YUE0TJO9,SIDE,L90,N,N,N,N,N,,I,1999010506:41:52-480,-900
Z9A515U3F2K1VDMW,FRONT,F0,N,N,N,N,N,,I,1999010506:43:24-480,-900
DMV1G8N0WJIR02MA,SIDE,L90,N,N,N,N,N,,I,1999010506:43:40-480,-900
RO2GSZDODZACLZXI,FRONT,F0,N,N,N,N,N,,I,1999010515:58:28-480,-900
PDEQVF070TDHIT42,SIDE,L90,N,N,N,N,N,,I,1999010515:58:48-480,-900
OLZKT0QZ5OOVQUCR,FRONT,F0,N,N,N,N,N,,I,1999010517:49:48-480,-900
NM2V3G70VSVA8QAQ,SIDE,L90,N,N,N,N,N,,I,1999010517:49:56-480,-900
U9XDBS934D48BI7P,FRONT,F0,N,N,N,N,N,,I,1999010518:10:10-480,-900
AE8M91LI0Q0QQS4B,SIDE,L90,N,N,N,N,N,,I,1999010518:10:18-480,-900
AMG2MCBTUBR0R0IE,FRONT,F0,N,N,N,N,N,,I,1999010519:19:38-480,-900
KGU9OQGQCTGKJZQI,SIDE,L90,N,N,N,N,N,,I,1999010519:19:56-480,-900
XB81B3EHIT23ZZMI,FRONT,F0,N,N,N,N,N,,I,1999010519:20:48-480,-900
W4I4D960AGZ2NGD6,SIDE,L90,N,N,N,N,N,,I,1999010519:21:06-480,-900
WD9GETGVLVWHIKTF,FRONT,F0,N,N,N,N,N,,I,1999010519:34:50-480,-900
MJ6LCSLCF4TQZY7Q,SIDE,L90,N,N,N,N,N,,I,1999010519:35:10-480,-900
Q6Z4IJR766G95XWF,FRONT,F0,N,N,N,N,N,,I,1999010520:04:48-480,-900
QS0V8F3YVRYHNQ5L,SIDE,L90,N,N,N,N,N,,I,1999010520:04:56-480,-900
VXY5CWHPETO530SW,FRONT,F0,N,N,N,N,N,,I,1999010520:19:34-480,-900
BVZHDKRT9RMAQU0G,SIDE,L90,N,N,N,N,N,,I,1999010520:19:46-480,-900
EANB8OHK88ZF1XZS,FRONT,F0,N,N,N,N,N,,I,1999010522:33:22-480,-900
QGZ445GUUOMJH4ER,SIDE,L90,N,N,N,N,N,,I,1999010522:33:44-480,-900
J2KX5WVHPOL03MFG,FRONT,F0,N,N,N,N,N,,I,1999010522:47:14-480,-900
W4RKP9CHXKW6WSDM,SIDE,L90,N,N,N,N,N,,I,1999010522:47:28-480,-900
K0YH37IC53X409UJ,FRONT,F0,N,N,N,N,N,,I,1999010522:54:02-480,-900
SFHPJD2UFDU9ACWD,SIDE,L90,N,N,N,N,N,,I,1999010522:54:12-480,-900
YO6HRLCTZOHMLDQV,FRONT,F0,N,N,N,N,N,,I,1999010601:33:30-480,-900
EVWY3KQDR3UEBEY3,SIDE,L90,N,N,N,N,N,,I,1999010601:34:00-480,-900
C76UHU08G4SS9RE2,FRONT,F0,N,N,N,N,N,,I,1999010601:48:14-480,-900
E68G5YS2QW2D0L1D,SIDE,L90,N,N,N,N,N,,I,1999010601:48:26-480,-900
J0KBCB6OV5ZK5APL,FRONT,F0,N,N,N,N,N,,I,1999010601:50:08-480,-900
ARQ4074SGUOKLUG7,SIDE,L90,N,N,N,N,N,,I,1999010601:50:24-480,-900
GZAILBQ6DEC7DQLK,FRONT,F0,N,N,N,N,N,,I,1999010601:54:44-480,-900
PIKGC86CS9M514F5,SIDE,L90,N,N,N,N,N,,I,1999010601:54:54-480,-900
BXADN34U5JK5OCPV,FRONT,F0,N,N,N,N,N,,I,1999010601:57:34-480,-900
QTRY7Y148XZTIR5D,FRONT,F0,N,N,N,N,N,,I,1999010601:58:38-480,-900
OSNII85AW2JHC35G,SIDE,L90,N,N,N,N,N,,I,1999010601:58:58-480,-900
M7DFL8VKQRU54RLW,FRONT,F0,N,N,N,N,N,,I,1999010602:01:30-480,-900
MNPSRZXN3LD3BX8H,SIDE,L90,N,N,N,N,N,,I,1999010602:01:42-480,-900
XGW0KLVTIEVFUS9Y,FRONT,F0,N,N,N,N,N,,I,1999010602:04:12-480,-900
YFVOMXFB2H37U8JF,SIDE,L90,N,N,N,N,N,,I,1999010602:04:40-480,-900
CZOVCYI5KW3W7B9W,FRONT,F0,N,N,N,N,N,,I,1999010602:09:46-480,-900
