LOAD DATA
INFILE *
APPEND
INTO TABLE macomb.mt_eh_entity_default_photo
FIELDS TERMINATED BY ',' OPTIONALLY ENCLOSED BY '"'
(ENTITY_ID,PHOTO_ID,ACTION_TYPE,ACTION_TIME,ACTION_BY)
BEGINDATA
0IHUWBU1C0XD3MIG,KJF44LWF13SW8DK5,I,1999010702:47:46-480,-900
0IHUSZ8000XD3MIG,MREPC5Z85RJWLJRC,I,1999010702:53:44-480,-900
0IHUWC5000XD3MIG,AV2OMDJ3UHQ3TMS8,I,1999010704:26:06-480,-900
0IHUJVI0K0X22MIG,FR3RY1DUUFLIZJBK,I,1999010704:31:00-480,-900
0IHUWC7000XD3MIG,RD2ZRHY6TH40K9HR,I,1999010704:36:58-480,-900
0IHVP80000X84MIG,RAHO9401UFEI58CQ,I,1999010704:38:56-480,-900
0IHUWC8000XD3MIG,LKLTLVT5UEZQY525,I,1999010704:46:18-480,-900
0IHVO3S230X85MIG,TPR0MX4BT87K6Z5C,I,1999010704:50:40-480,-900
0IHUZMZ000XD7MIG,ULDVYQPJQGEA6EB6,I,1999010705:21:22-480,-900
0IHUWAC000XD3MIG,NQTZYNCSHNG6HJMH,I,1999010705:24:36-480,-900
0IHUWC1000XD3MIG,X6TN4E1KSFXPOX9R,I,1999010705:26:32-480,-900
0IHUWCA000XD3MIG,HHZP4QC95BPO78ST,I,1999010705:28:40-480,-900
0IHUWC4000XD3MIG,VP2VQOLKC344P1FM,I,1999010705:38:12-480,-900
0IHUWBX000XD3MIG,NK5NGQSL2GMWQMI8,I,1999010705:39:36-480,-900
0IHUQVX3O0XD3MIG,WDONFBPKPRCGGISZ,I,1999010705:54:42-480,-900
0IHUOIC000X31MIG,IBR1FNAEJWC0SWVO,I,1999010705:59:18-480,-900
0IHUWBV1V0XD3MIG,BBFZKI6AFQQJKZAK,I,1999010706:00:48-480,-900
0IHUWBQ000XD3MIG,EPSZEGFSMTGK33D9,I,1999010706:02:20-480,-900
0IHUSSX000XD3MIG,K6QZ3I7CNRWXE191,I,1999010706:05:56-480,-900
0IHUM7O000X22MIG,K7ALK34TPDJ2NKCQ,I,1999010706:16:24-480,-900
0IHUMV5000X31MIG,PYVSH72UYHLJ4QZ6,I,1999010714:53:22-480,-900
0IHUOKC060XD1MIG,XOT78YIH29YR6TJT,I,1999010717:27:38-480,-900
0IHUTR6660XD3MIG,CXHNGOK2O9IUIDBP,I,1999010718:12:14-480,-900
0IHUYK14Z0XD7MIG,DBTS1TW91LTFFVYG,I,1999010719:06:34-480,-900
0IHVKYB000X84MIG,H8FUL2YTGERN7IMJ,I,1999010719:59:14-480,-900
0IHVPV9000X84MIG,IO2X16U323OMYAE2,I,1999010720:35:20-480,-900
0IHUL93BM0XD3MIG,PTT8WM0N258W9GQP,I,1999010720:37:24-480,-900
0IHUHFJ000XD7MIG,YXQCSSWPHIRTRMIS,I,1999010720:39:26-480,-900
0IHUWCM330XD3MIG,PO3FOCN2RRNJFOI0,I,1999010721:36:30-480,-900
0IHUTER2I0XD3MIG,CJRIP1D2HAKS1V2A,I,1999010721:38:32-480,-900
0IHULEP830XD3MIG,CC4DBLEV6TZOXJAW,I,1999010722:32:00-480,-900
0IHUWCR000XD3MIG,JMU7R3SFN1QSUR7P,I,1999010802:27:36-480,-900
0IHUWCO2X0XD3MIG,RB0X8FJLR1406KBL,I,1999010802:29:10-480,-900
0IHUWCQ000XD3MIG,M089M5CEBQDIZLI5,I,1999010802:30:40-480,-900
0IHUJL60T0X22MIG,HETXUB6CC4XCVKID,I,1999010802:34:40-480,-900
0IHUWCS000XD3MIG,HR3MS43856D0M1T9,I,1999010802:36:48-480,-900
0IHUWCO000XD3MIG,L6MJSXUUV4V0LQDT,I,1999010802:39:32-480,-900
0IHUMK7000XD3MIG,EGNP3WYNHPX2DMSF,I,1999010804:33:58-480,-900
0IHULNR2L0XD1MIG,EMLXBUVBNKTARJOU,I,1999010804:34:52-480,-900
0IHUM27090XD3MIG,HYGE0KQ8KNG04ACL,I,1999010804:35:48-480,-900
